customer_id,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,cluster
1273,240,2,24.6,1,1,1,111,3,1
1274,538,3,63.88,1,2,3,123,6,3
1275,73,10,152.56,3,5,5,355,13,2
1276,37,5,101.5,3,4,4,344,11,4
1277,29,5,108.21,4,4,4,444,12,4
1278,21,4,95.2,4,3,4,434,11,4
1279,111,6,112.9,2,5,4,254,11,2
1280,140,4,47.1,2,3,2,232,7,0
1281,211,3,91.9,1,2,4,124,7,3
1282,42,5,40.7,3,4,2,342,9,4
1283,47,7,144.7,3,5,5,355,13,4
1284,485,2,25.6,1,1,1,111,3,1
1285,162,5,107.4,2,4,4,244,10,3
1286,140,7,124.45,2,5,4,254,11,2
1287,124,5,180.92,2,4,5,245,11,2
1288,458,2,92.68,1,1,4,114,6,3
1289,52,4,125.9,3,3,4,334,10,4
1290,99,3,107.5,2,2,4,224,8,4
1291,285,4,55.0,1,3,2,132,6,3
1292,67,2,22.7,3,1,1,311,5,0
1293,65,4,93.46,3,3,4,334,10,4
1294,373,5,120.4,1,4,4,144,9,3
1295,160,3,62.35,2,2,3,223,7,0
1296,37,6,154.34,3,5,5,355,13,4
1297,382,4,108.15,1,3,4,134,8,3
1298,156,3,60.8,2,2,2,222,6,0
1299,210,3,23.1,1,2,1,121,4,0
1300,482,1,21.0,1,1,1,111,3,1
1301,57,3,54.0,3,2,2,322,7,0
1302,92,4,56.96,2,3,2,232,7,0
1303,113,5,82.0,2,4,3,243,9,0
1304,135,3,68.5,2,2,3,223,7,0
1305,220,3,114.3,1,2,4,124,7,3
1306,40,3,58.19,3,2,2,322,7,4
1307,191,5,66.7,1,4,3,143,8,0
1308,291,4,89.4,1,3,4,134,8,3
1309,273,5,88.35,1,4,4,144,9,3
1310,403,2,12.4,1,1,1,111,3,1
1311,184,3,79.5,1,2,3,123,6,0
1312,226,6,197.8,1,5,5,155,11,2
1313,5,1,17.3,5,1,1,511,7,0
1314,481,1,2.9,1,1,1,111,3,1
1315,53,3,82.0,3,2,3,323,8,4
1316,279,3,49.6,1,2,2,122,5,3
1317,522,3,32.54,1,2,1,121,4,1
1318,95,2,51.3,2,1,2,212,5,0
1319,134,3,63.8,2,2,3,223,7,0
1320,345,4,90.72,1,3,4,134,8,3
1321,261,2,14.6,1,1,1,111,3,1
1322,72,4,140.64,3,3,5,335,11,4
1323,57,3,39.1,3,2,2,322,7,0
1324,3,5,179.2,5,4,5,545,14,4
1325,218,3,80.3,1,2,3,123,6,3
1326,51,3,103.8,3,2,4,324,9,4
1327,143,8,136.92,2,5,5,255,12,2
1328,281,3,88.82,1,2,4,124,7,3
1329,221,5,146.6,1,4,5,145,10,2
1330,58,4,118.4,3,3,4,334,10,4
1331,31,4,61.75,3,3,2,332,8,4
1332,28,5,64.1,4,4,3,443,11,4
1333,99,6,145.5,2,5,5,255,12,2
1334,206,2,27.0,1,1,1,111,3,1
1335,73,4,94.45,3,3,4,334,10,4
1336,270,3,192.85,1,2,5,125,8,2
1337,5,2,70.5,5,1,3,513,9,4
1338,506,2,25.1,1,1,1,111,3,1
1339,32,5,76.7,3,4,3,343,10,4
1340,42,6,82.7,3,5,3,353,11,4
1341,61,4,139.4,3,3,5,335,11,4
1342,314,5,132.05,1,4,5,145,10,3
1343,59,4,124.22,3,3,4,334,10,4
1344,117,2,25.5,2,1,1,211,4,0
1345,162,3,78.36,2,2,3,223,7,0
1346,236,3,59.7,1,2,2,122,5,0
1347,106,4,118.2,2,3,4,234,9,3
1348,104,2,58.0,2,1,2,212,5,0
1349,17,4,77.52,4,3,3,433,10,4
1350,483,2,19.2,1,1,1,111,3,1
1351,307,2,63.1,1,1,3,113,5,3
1352,667,1,24.4,1,1,1,111,3,1
1353,324,6,235.4,1,5,5,155,11,2
1354,29,5,74.95,4,4,3,443,11,4
1355,102,5,92.7,2,4,4,244,10,0
1356,113,4,131.44,2,3,5,235,10,2
1357,115,3,24.3,2,2,1,221,5,0
1358,1,4,98.4,5,3,4,534,12,4
1359,580,1,46.4,1,1,2,112,4,3
1360,14,5,195.2,4,4,5,445,13,2
1361,113,7,100.9,2,5,4,254,11,2
1362,85,2,62.7,3,1,3,313,7,0
1363,77,5,96.6,3,4,4,344,11,4
1364,152,4,35.4,2,3,1,231,6,0
1365,58,6,62.5,3,5,3,353,11,4
1366,31,6,224.1,3,5,5,355,13,2
1367,147,2,70.9,2,1,3,213,6,0
1368,168,1,33.9,2,1,1,211,4,0
1369,394,3,23.6,1,2,1,121,4,3
1370,178,3,61.1,2,2,2,222,6,0
1371,233,3,90.3,1,2,4,124,7,3
1372,188,3,97.3,1,2,4,124,7,3
1373,164,3,153.4,2,2,5,225,9,2
1374,147,4,33.2,2,3,1,231,6,0
1375,80,1,7.2,3,1,1,311,5,0
1376,183,3,37.58,1,2,2,122,5,0
1377,291,3,92.9,1,2,4,124,7,3
1378,79,2,52.5,3,1,2,312,6,0
1379,170,11,217.85,2,5,5,255,12,2
1380,39,5,101.1,3,4,4,344,11,4
1381,282,5,104.75,1,4,4,144,9,3
1382,92,3,43.0,2,2,2,222,6,0
1383,310,3,41.0,1,2,2,122,5,1
1384,11,7,86.6,4,5,3,453,12,4
1385,34,5,164.7,3,4,5,345,12,4
1386,152,3,54.8,2,2,2,222,6,0
1387,578,2,47.46,1,1,2,112,4,1
1388,271,3,44.2,1,2,2,122,5,1
1389,315,3,36.3,1,2,1,121,4,1
1390,303,3,99.87,1,2,4,124,7,3
1391,131,6,97.4,2,5,4,254,11,3
1392,254,3,85.9,1,2,3,123,6,3
1393,491,3,44.15,1,2,2,122,5,1
1394,220,2,56.1,1,1,2,112,4,0
1395,79,8,174.64,3,5,5,355,13,2
1396,161,2,106.52,2,1,4,214,7,3
1397,9,1,11.8,4,1,1,411,6,0
1398,259,2,86.51,1,1,3,113,5,3
1399,385,4,80.1,1,3,3,133,7,3
1400,445,1,7.8,1,1,1,111,3,1
1401,215,2,13.6,1,1,1,111,3,1
1402,442,1,17.8,1,1,1,111,3,1
1403,228,4,68.4,1,3,3,133,7,3
1404,241,5,159.5,1,4,5,145,10,2
1405,305,2,45.2,1,1,2,112,4,1
1406,2,2,102.2,5,1,4,514,10,4
1407,154,6,245.05,2,5,5,255,12,2
1408,160,3,31.9,2,2,1,221,5,0
1409,155,3,37.06,2,2,2,222,6,0
1410,52,10,184.45,3,5,5,355,13,2
1411,313,2,70.32,1,1,3,113,5,3
1412,44,4,86.27,3,3,3,333,9,4
1413,381,3,63.8,1,2,3,123,6,3
1414,220,1,3.4,1,1,1,111,3,1
1415,367,2,10.8,1,1,1,111,3,1
1416,130,6,137.7,2,5,5,255,12,2
1417,103,5,70.1,2,4,3,243,9,0
1418,393,3,38.7,1,2,2,122,5,1
1419,267,5,165.5,1,4,5,145,10,2
1420,22,4,82.35,4,3,3,433,10,4
1421,145,4,50.12,2,3,2,232,7,0
1422,87,7,152.4,3,5,5,355,13,4
1423,443,2,49.46,1,1,2,112,4,3
1424,82,3,79.3,3,2,3,323,8,0
1425,97,4,44.32,2,3,2,232,7,0
1426,175,5,74.04,2,4,3,243,9,0
1427,34,6,92.4,3,5,4,354,12,4
1428,346,5,107.14,1,4,4,144,9,3
1429,326,2,31.1,1,1,1,111,3,1
1430,13,6,203.6,4,5,5,455,14,2
1431,53,4,48.3,3,3,2,332,8,4
1432,148,4,96.1,2,3,4,234,9,0
1433,464,1,50.6,1,1,2,112,4,3
1434,397,3,49.5,1,2,2,122,5,3
1435,250,5,175.55,1,4,5,145,10,2
1436,304,1,13.49,1,1,1,111,3,1
1437,137,2,20.05,2,1,1,211,4,0
1438,32,6,188.94,3,5,5,355,13,4
1439,139,1,10.9,2,1,1,211,4,1
1440,24,6,102.6,4,5,4,454,13,4
1442,121,6,88.1,2,5,4,254,11,3
1443,82,4,93.4,3,3,4,334,10,4
1444,1,6,163.32,5,5,5,555,15,4
1445,607,3,25.8,1,2,1,121,4,1
1446,484,3,63.26,1,2,3,123,6,3
1447,573,1,30.0,1,1,1,111,3,1
1448,286,2,39.1,1,1,2,112,4,1
1449,88,4,54.45,3,3,2,332,8,0
1450,44,6,106.1,3,5,4,354,12,4
1451,337,2,54.56,1,1,2,112,4,3
1452,35,6,191.04,3,5,5,355,13,4
1453,404,2,34.8,1,1,1,111,3,1
1454,69,4,110.7,3,3,4,334,10,4
1455,287,1,20.4,1,1,1,111,3,1
1456,40,6,168.74,3,5,5,355,13,4
1457,355,6,139.4,1,5,5,155,11,3
1458,128,3,46.9,2,2,2,222,6,0
1459,165,1,32.66,2,1,1,211,4,0
1460,189,3,163.7,1,2,5,125,8,2
1461,9,3,77.3,4,2,3,423,9,4
1462,462,2,19.7,1,1,1,111,3,1
1463,6,3,35.1,5,2,1,521,8,0
1464,210,2,21.8,1,1,1,111,3,1
1465,51,7,190.96,3,5,5,355,13,4
1466,29,9,209.8,4,5,5,455,14,2
1467,132,2,73.0,2,1,3,213,6,0
1468,82,6,105.24,3,5,4,354,12,4
1469,489,1,9.5,1,1,1,111,3,1
1470,567,1,29.7,1,1,1,111,3,1
1471,496,2,16.8,1,1,1,111,3,1
1472,102,6,112.6,2,5,4,254,11,4
1473,89,4,93.9,3,3,4,334,10,4
1474,154,5,84.8,2,4,3,243,9,0
1475,13,4,106.93,4,3,4,434,11,4
1476,126,6,111.84,2,5,4,254,11,2
1477,40,6,172.9,3,5,5,355,13,4
1478,321,4,71.2,1,3,3,133,7,3
1479,229,4,95.29,1,3,4,134,8,3
1480,39,6,114.44,3,5,4,354,12,4
1481,209,2,23.8,1,1,1,111,3,1
1482,38,6,115.28,3,5,4,354,12,4
1483,186,8,169.22,1,5,5,155,11,2
1484,84,3,143.6,3,2,5,325,10,4
1485,171,2,51.9,2,1,2,212,5,0
1486,16,6,115.9,4,5,4,454,13,4
1487,423,2,34.9,1,1,1,111,3,1
1488,32,4,96.8,3,3,4,334,10,4
1489,190,5,60.7,1,4,2,142,7,3
1490,87,2,45.5,3,1,2,312,6,0
1491,0,5,108.4,5,4,4,544,13,4
1492,335,5,98.0,1,4,4,144,9,3
1493,90,6,113.7,3,5,4,354,12,4
1494,92,6,175.74,2,5,5,255,12,2
1495,355,3,62.5,1,2,3,123,6,3
1496,613,1,16.8,1,1,1,111,3,1
1497,81,4,123.42,3,3,4,334,10,4
1498,63,4,56.1,3,3,2,332,8,4
1499,51,5,48.5,3,4,2,342,9,4
1500,284,6,127.52,1,5,5,155,11,3
1501,135,4,122.6,2,3,4,234,9,3
1502,60,2,49.3,3,1,2,312,6,0
1503,135,3,94.5,2,2,4,224,8,0
1504,30,5,151.7,4,4,5,445,13,4
1505,64,2,100.56,3,1,4,314,8,4
1506,370,2,76.0,1,1,3,113,5,3
1507,191,5,130.6,1,4,5,145,10,3
1508,45,4,35.9,3,3,1,331,7,4
1509,0,6,146.2,5,5,5,555,15,4
1510,66,7,174.51,3,5,5,355,13,4
1511,283,2,40.42,1,1,2,112,4,1
1512,101,4,59.21,2,3,2,232,7,0
1513,48,3,115.8,3,2,4,324,9,4
1514,128,5,63.54,2,4,3,243,9,0
1515,32,6,93.1,3,5,4,354,12,4
1516,336,2,70.72,1,1,3,113,5,3
1517,151,4,55.5,2,3,2,232,7,0
1518,19,3,66.45,4,2,3,423,9,4
1519,428,1,13.4,1,1,1,111,3,1
1520,307,3,81.5,1,2,3,123,6,3
1521,369,2,86.8,1,1,3,113,5,3
1522,371,7,216.19,1,5,5,155,11,2
1523,277,3,124.75,1,2,4,124,7,3
1524,25,4,52.8,4,3,2,432,9,4
1525,431,2,61.1,1,1,2,112,4,3
1526,34,5,84.49,3,4,3,343,10,4
1527,0,5,65.9,5,4,3,543,12,4
1528,106,4,85.5,2,3,3,233,8,0
1529,196,3,49.7,1,2,2,122,5,0
1530,445,2,40.9,1,1,2,112,4,1
1531,345,2,27.7,1,1,1,111,3,1
1532,193,2,93.3,1,1,4,114,6,3
1533,53,3,60.14,3,2,2,322,7,4
1534,139,4,153.31,2,3,5,235,10,2
1535,180,4,114.36,2,3,4,234,9,3
1536,242,3,60.4,1,2,2,122,5,0
1537,332,2,16.0,1,1,1,111,3,1
1538,30,3,45.55,4,2,2,422,8,0
1539,94,2,37.6,2,1,2,212,5,0
1540,34,4,130.9,3,3,5,335,11,4
1542,145,6,136.2,2,5,5,255,12,2
1544,308,4,74.16,1,3,3,133,7,3
1545,74,3,36.8,3,2,1,321,6,0
1546,361,3,51.8,1,2,2,122,5,3
1547,256,3,57.5,1,2,2,122,5,3
1548,455,3,45.1,1,2,2,122,5,1
1549,287,3,120.85,1,2,4,124,7,3
1550,230,3,67.95,1,2,3,123,6,0
1551,141,6,92.7,2,5,4,254,11,3
1552,720,1,80.1,1,1,3,113,5,3
1553,162,6,95.7,2,5,4,254,11,3
1554,223,5,183.5,1,4,5,145,10,2
1555,278,1,37.2,1,1,2,112,4,1
1556,578,1,20.9,1,1,1,111,3,1
1557,148,2,108.6,2,1,4,214,7,3
1558,268,1,15.4,1,1,1,111,3,1
1559,88,2,103.0,3,1,4,314,8,4
1560,593,1,1.9,1,1,1,111,3,1
1561,158,7,135.55,2,5,5,255,12,2
1562,233,3,66.9,1,2,3,123,6,0
1563,612,2,35.0,1,1,1,111,3,1
1564,68,4,83.0,3,3,3,333,9,4
1565,16,6,234.79,4,5,5,455,14,2
1566,41,9,145.76,3,5,5,355,13,4
1567,263,4,192.08,1,3,5,135,9,2
1568,661,2,48.9,1,1,2,112,4,1
1569,589,3,46.4,1,2,2,122,5,1
1570,285,2,41.0,1,1,2,112,4,1
1571,220,2,34.5,1,1,1,111,3,1
1572,100,7,182.1,2,5,5,255,12,2
1573,343,3,36.9,1,2,1,121,4,1
1574,148,10,205.7,2,5,5,255,12,2
1575,360,5,38.62,1,4,2,142,7,3
1577,289,1,32.1,1,1,1,111,3,1
1578,190,4,57.2,1,3,2,132,6,0
1579,563,1,11.5,1,1,1,111,3,1
1580,25,7,53.35,4,5,2,452,11,4
1581,139,3,83.7,2,2,3,223,7,0
1582,146,3,95.06,2,2,4,224,8,3
1583,37,6,157.65,3,5,5,355,13,4
1584,173,5,141.95,2,4,5,245,11,2
1585,357,4,38.3,1,3,2,132,6,3
1586,607,2,25.9,1,1,1,111,3,1
1587,182,5,101.62,1,4,4,144,9,3
1588,78,3,109.54,3,2,4,324,9,4
1589,490,2,46.0,1,1,2,112,4,1
1590,137,3,43.7,2,2,2,222,6,0
1591,285,4,103.2,1,3,4,134,8,3
1592,397,1,4.4,1,1,1,111,3,1
1593,144,3,32.6,2,2,1,221,5,0
1594,341,3,23.3,1,2,1,121,4,3
1595,86,7,171.5,3,5,5,355,13,2
1596,169,4,35.45,2,3,1,231,6,0
1597,328,4,58.2,1,3,2,132,6,3
1598,303,3,29.2,1,2,1,121,4,1
1599,78,5,71.64,3,4,3,343,10,4
1601,21,3,85.5,4,2,3,423,9,4
1602,123,7,148.0,2,5,5,255,12,2
1603,91,5,106.75,2,4,4,244,10,4
1604,49,4,48.0,3,3,2,332,8,4
1605,177,5,47.1,2,4,2,242,8,3
1606,49,4,128.0,3,3,5,335,11,4
1607,444,2,35.76,1,1,1,111,3,1
1608,47,6,170.12,3,5,5,355,13,4
1609,13,6,203.1,4,5,5,455,14,2
1610,218,2,25.7,1,1,1,111,3,1
1611,270,3,93.85,1,2,4,124,7,3
1612,54,6,102.3,3,5,4,354,12,4
1613,127,7,164.7,2,5,5,255,12,2
1614,70,2,85.42,3,1,3,313,7,4
1615,27,4,69.5,4,3,3,433,10,4
1616,22,6,132.0,4,5,5,455,14,4
1617,275,4,35.1,1,3,1,131,5,3
1618,150,7,192.72,2,5,5,255,12,2
