member_number,last_purchase,first_purchase,frequency,monetary,total_items,recency,tenure_days,AOV,avg_items_per_order,R_score,F_score,M_score,RFM_code,Segment
1033,2015-06-15,2014-03-02,5,91.3,28,199,470,18.259999999999998,5.6,2,4,4,244,Nguy cơ
1034,2014-05-13,2014-02-24,3,83.04999999999998,16,597,78,27.683333333333326,5.333333333333333,1,2,3,123,Khác
1035,2015-09-08,2014-06-25,5,69.89999999999999,24,114,440,13.979999999999999,4.8,3,4,3,343,Trung thành
1036,2014-01-20,2014-01-20,1,10.8,6,710,0,10.8,6.0,1,1,1,111,Vãng lai
1037,2015-12-16,2014-02-24,3,58.44,22,15,660,19.48,7.333333333333333,5,2,2,522,Mới
1038,2015-12-14,2014-01-28,6,214.20000000000002,37,17,685,35.7,6.166666666666667,5,5,5,555,VIP
1039,2015-05-31,2015-05-31,1,2.7,4,214,0,2.7,4.0,2,1,1,211,Vãng lai
1040,2015-11-26,2014-06-14,4,48.099999999999994,19,35,530,12.024999999999999,4.75,5,3,2,532,Trung thành
1041,2015-04-02,2014-06-13,4,113.75000000000001,21,273,293,28.437500000000004,5.25,2,3,4,234,Nguy cơ
1042,2015-10-16,2015-02-12,3,35.75,14,76,246,11.916666666666666,4.666666666666667,4,2,1,421,Khác
1043,2015-01-10,2014-03-14,3,94.69000000000001,17,355,302,31.563333333333336,5.666666666666667,1,2,4,124,Khác
1044,2015-10-25,2015-02-09,2,25.4,8,67,258,12.7,4.0,4,1,1,411,Vãng lai
1045,2015-11-25,2014-01-12,3,98.9,19,36,682,32.96666666666667,6.333333333333333,5,2,4,524,Mới
1046,2015-06-24,2015-06-18,2,16.7,7,190,6,8.35,3.5,2,1,1,211,Vãng lai
1047,2015-08-09,2014-12-17,3,51.60000000000001,13,144,235,17.200000000000003,4.333333333333333,3,2,2,322,Khác
1048,2015-10-18,2015-10-06,2,23.8,11,74,12,11.9,5.5,4,1,1,411,Vãng lai
1049,2015-09-05,2014-01-07,4,62.3,17,117,606,15.575,4.25,3,3,3,333,Trung thành
1050,2015-05-04,2014-02-15,6,124.6,26,241,443,20.766666666666666,4.333333333333333,2,5,4,254,Nguy cơ
1051,2015-11-10,2014-01-13,6,207.35999999999999,39,51,666,34.559999999999995,6.5,4,5,5,455,VIP
1052,2015-10-27,2014-01-04,10,267.5,48,65,661,26.75,4.8,4,5,5,455,VIP
1053,2015-07-09,2014-04-30,6,80.7,27,175,435,13.450000000000001,4.5,3,5,3,353,Trung thành
1054,2015-10-21,2014-01-16,4,43.900000000000006,16,71,643,10.975000000000001,4.0,4,3,2,432,Trung thành
1055,2015-05-25,2014-08-05,2,75.7,15,220,293,37.85,7.5,2,1,3,213,Khác
1056,2015-11-09,2014-09-24,3,58.2,10,52,411,19.400000000000002,3.3333333333333335,4,2,2,422,Khác
1057,2014-06-08,2014-01-06,3,32.150000000000006,16,571,153,10.716666666666669,5.333333333333333,1,2,1,121,Khác
1058,2015-11-10,2014-05-24,4,38.900000000000006,18,51,535,9.725000000000001,4.5,4,3,2,432,Trung thành
1059,2014-06-14,2014-06-11,2,16.8,8,565,3,8.4,4.0,1,1,1,111,Vãng lai
1061,2015-09-05,2014-03-17,5,149.1,27,117,537,29.82,5.4,3,4,5,345,Trung thành
1062,2015-09-18,2014-01-26,5,129.32,28,104,600,25.863999999999997,5.6,4,4,5,445,VIP
1063,2015-01-23,2014-06-07,2,8.1,4,342,230,4.05,2.0,1,1,1,111,Vãng lai
1064,2015-07-25,2014-04-21,3,59.10000000000001,17,159,460,19.700000000000003,5.666666666666667,3,2,2,322,Khác
1065,2015-11-13,2014-01-14,6,225.4,30,48,668,37.56666666666667,5.0,4,5,5,455,VIP
1066,2014-06-12,2014-02-01,3,19.92,10,567,131,6.640000000000001,3.3333333333333335,1,2,1,121,Khác
1067,2015-07-20,2015-03-05,3,112.30000000000001,17,164,137,37.43333333333334,5.666666666666667,3,2,4,324,Khác
1068,2015-07-01,2014-03-08,2,20.7,8,183,480,10.35,4.0,3,1,1,311,Vãng lai
1069,2015-08-20,2014-01-20,4,90.45,27,133,577,22.6125,6.75,3,3,4,334,Trung thành
1070,2014-11-05,2014-04-10,2,66.4,11,421,209,33.2,5.5,1,1,3,113,Khác
1071,2014-09-26,2014-09-26,1,17.1,5,461,0,17.1,5.0,1,1,1,111,Vãng lai
1072,2015-10-23,2014-06-23,2,50.7,9,69,487,25.35,4.5,4,1,2,412,Khác
1073,2015-12-03,2014-03-21,4,109.80000000000001,22,28,622,27.450000000000003,5.5,5,3,4,534,Trung thành
1074,2015-10-16,2014-01-29,5,71.96000000000001,18,76,625,14.392000000000001,3.6,4,4,3,443,Trung thành
1075,2015-11-19,2014-06-19,4,80.3,24,42,518,20.075,6.0,5,3,3,533,Trung thành
1076,2015-10-14,2014-12-24,4,87.89999999999999,21,78,294,21.974999999999998,5.25,4,3,3,433,Trung thành
1077,2015-09-12,2014-07-17,6,50.9,28,110,422,8.483333333333333,4.666666666666667,3,5,2,352,Trung thành
1078,2015-10-28,2014-08-28,2,50.0,12,64,426,25.0,6.0,4,1,2,412,Khác
1079,2015-09-09,2014-10-07,2,89.1,10,113,337,44.55,5.0,3,1,4,314,Khác
1080,2015-05-14,2014-11-02,2,17.8,9,231,193,8.9,4.5,2,1,1,211,Vãng lai
1081,2015-05-03,2014-02-11,5,138.6,34,242,446,27.72,6.8,2,4,5,245,Nguy cơ
1082,2014-05-13,2014-03-20,2,65.8,9,597,54,32.9,4.5,1,1,3,113,Khác
1083,2015-02-06,2014-07-15,3,102.7,14,328,206,34.233333333333334,4.666666666666667,1,2,4,124,Khác
1084,2014-04-18,2014-04-18,1,7.6,4,622,0,7.6,4.0,1,1,1,111,Vãng lai
1085,2015-08-15,2014-04-24,3,31.740000000000002,13,138,478,10.58,4.333333333333333,3,2,1,321,Khác
1086,2015-12-28,2014-07-27,5,94.4,24,3,519,18.880000000000003,4.8,5,4,4,544,VIP
1087,2015-08-14,2014-02-26,9,193.82,36,139,534,21.535555555555554,4.0,3,5,5,355,Trung thành
1088,2015-11-30,2015-01-14,3,58.75,14,31,320,19.583333333333332,4.666666666666667,5,2,2,522,Mới
1089,2014-12-05,2014-12-05,1,9.3,4,391,0,9.3,4.0,1,1,1,111,Vãng lai
1090,2015-10-21,2015-08-31,3,219.2,24,71,51,73.06666666666666,8.0,4,2,5,425,Khác
1092,2015-10-09,2014-12-10,5,104.31,38,83,303,20.862000000000002,7.6,4,4,4,444,VIP
1093,2015-03-28,2015-03-28,1,3.65,3,278,0,3.65,3.0,2,1,1,211,Vãng lai
1094,2015-09-08,2014-03-11,8,149.79,44,114,546,18.72375,5.5,3,5,5,355,Trung thành
1095,2015-10-30,2014-03-25,3,57.76,18,62,584,19.253333333333334,6.0,4,2,2,422,Khác
1096,2015-07-28,2015-07-28,1,15.3,6,156,0,15.3,6.0,3,1,1,311,Vãng lai
1097,2015-11-01,2014-04-16,6,106.48,26,60,564,17.746666666666666,4.333333333333333,4,5,4,454,VIP
1098,2015-11-12,2014-02-25,7,267.62,42,49,625,38.23142857142857,6.0,4,5,5,455,VIP
1099,2015-08-13,2014-07-18,3,39.7,12,140,391,13.233333333333334,4.0,3,2,2,322,Khác
1100,2015-03-12,2014-02-20,3,88.3,16,294,385,29.433333333333334,5.333333333333333,2,2,4,224,Khác
1101,2014-12-28,2014-09-07,3,52.0,14,368,112,17.333333333333332,4.666666666666667,1,2,2,122,Khác
1102,2015-06-27,2014-02-14,4,73.7,20,187,498,18.425,5.0,3,3,3,333,Trung thành
1103,2014-11-22,2014-05-25,4,87.1,18,404,181,21.775,4.5,1,3,3,133,Nguy cơ
1104,2015-10-27,2014-05-09,4,40.25,15,65,536,10.0625,3.75,4,3,2,432,Trung thành
1105,2015-05-22,2014-06-14,2,34.8,14,223,342,17.4,7.0,2,1,1,211,Vãng lai
1107,2015-10-01,2014-05-15,8,129.38,34,91,504,16.1725,4.25,4,5,5,455,VIP
1108,2015-07-30,2014-05-22,4,94.06,23,154,434,23.515,5.75,3,3,4,334,Trung thành
1109,2015-04-06,2014-06-19,5,93.9,24,269,291,18.78,4.8,2,4,4,244,Nguy cơ
1110,2015-11-20,2014-05-30,7,155.9,41,41,539,22.271428571428572,5.857142857142857,5,5,5,555,VIP
1111,2015-11-20,2014-03-03,4,53.3,21,41,627,13.325,5.25,5,3,2,532,Trung thành
1112,2015-04-09,2015-04-09,1,26.36,7,266,0,26.36,7.0,2,1,1,211,Vãng lai
1113,2015-08-05,2014-01-07,4,74.65,22,148,575,18.6625,5.5,3,3,3,333,Trung thành
1114,2015-07-10,2014-04-25,6,121.11999999999999,35,174,441,20.186666666666664,5.833333333333333,3,5,4,354,Trung thành
1115,2015-01-22,2014-07-31,4,68.5,19,343,175,17.125,4.75,1,3,3,133,Nguy cơ
1116,2015-11-29,2014-03-06,8,157.4,44,32,633,19.675,5.5,5,5,5,555,VIP
1117,2015-05-24,2015-05-24,1,34.6,6,221,0,34.6,6.0,2,1,1,211,Vãng lai
1118,2015-12-25,2014-03-02,6,173.4,34,6,663,28.900000000000002,5.666666666666667,5,5,5,555,VIP
1119,2015-02-04,2015-02-04,1,22.400000000000002,4,330,0,22.400000000000002,4.0,1,1,1,111,Vãng lai
1120,2015-09-26,2014-08-21,6,144.39,40,96,401,24.064999999999998,6.666666666666667,4,5,5,455,VIP
1121,2014-03-15,2014-03-15,1,30.62,4,656,0,30.62,4.0,1,1,1,111,Vãng lai
1122,2015-12-21,2014-09-25,3,33.0,10,10,452,11.0,3.3333333333333335,5,2,1,521,Mới
1123,2015-11-12,2014-08-09,4,73.60000000000001,25,49,460,18.400000000000002,6.25,4,3,3,433,Trung thành
1124,2014-08-23,2014-03-05,2,15.9,6,495,171,7.95,3.0,1,1,1,111,Vãng lai
1125,2015-11-19,2014-05-30,5,67.56,23,42,538,13.512,4.6,5,4,3,543,Trung thành
1126,2015-05-17,2014-11-02,3,124.2,18,228,196,41.4,6.0,2,2,4,224,Khác
1127,2015-10-15,2014-02-06,4,85.16,29,77,616,21.29,7.25,4,3,3,433,Trung thành
1128,2015-07-05,2014-03-27,4,67.25,19,179,465,16.8125,4.75,3,3,3,333,Trung thành
1129,2014-12-21,2014-01-25,5,179.64000000000001,24,375,330,35.928000000000004,4.8,1,4,5,145,Nguy cơ
1130,2015-09-18,2014-08-18,4,94.95,21,104,396,23.7375,5.25,4,3,4,434,Trung thành
1132,2015-09-22,2014-11-22,3,24.64,14,100,304,8.213333333333333,4.666666666666667,4,2,1,421,Khác
1133,2015-08-03,2014-03-21,5,143.82,21,150,500,28.764,4.2,3,4,5,345,Trung thành
1134,2014-12-04,2014-02-18,3,48.4,17,392,289,16.133333333333333,5.666666666666667,1,2,2,122,Khác
1135,2015-07-10,2015-02-24,3,40.97,17,174,136,13.656666666666666,5.666666666666667,3,2,2,322,Khác
1136,2015-11-03,2014-05-02,9,209.06,43,58,550,23.22888888888889,4.777777777777778,4,5,5,455,VIP
1137,2015-09-26,2014-05-16,2,17.6,13,96,498,8.8,6.5,4,1,1,411,Vãng lai
1138,2015-09-02,2014-07-07,3,53.3,12,120,422,17.766666666666666,4.0,3,2,2,322,Khác
1139,2015-01-19,2014-01-15,4,72.8,17,346,369,18.2,4.25,1,3,3,133,Nguy cơ
1140,2015-06-26,2015-05-01,2,66.7,17,188,56,33.35,8.5,3,1,3,313,Khác
1141,2014-12-15,2014-04-08,4,80.8,20,381,251,20.2,5.0,1,3,3,133,Nguy cơ
1142,2015-06-13,2014-05-22,4,81.0,14,201,387,20.25,3.5,2,3,3,233,Nguy cơ
1143,2015-04-25,2014-07-14,5,54.5,22,250,285,10.9,4.4,2,4,2,242,Nguy cơ
1144,2015-10-15,2014-04-08,7,133.25,34,77,555,19.035714285714285,4.857142857142857,4,5,5,455,VIP
1145,2015-10-07,2014-06-05,3,34.6,12,85,489,11.533333333333333,4.0,4,2,1,421,Khác
1146,2015-09-12,2014-01-30,7,157.52,37,110,590,22.502857142857145,5.285714285714286,3,5,5,355,Trung thành
1147,2014-11-16,2014-03-04,3,49.2,8,410,257,16.400000000000002,2.6666666666666665,1,2,2,122,Khác
1148,2015-09-27,2014-01-31,6,118.76,36,95,604,19.793333333333333,6.0,4,5,4,454,VIP
1149,2015-12-12,2015-08-06,2,34.6,14,19,128,17.3,7.0,5,1,1,511,Mới
1150,2015-12-04,2014-08-29,4,54.400000000000006,17,27,462,13.600000000000001,4.25,5,3,2,532,Trung thành
1151,2015-09-17,2014-12-12,2,68.80000000000001,10,105,279,34.400000000000006,5.0,4,1,3,413,Khác
1152,2015-07-19,2014-12-26,4,83.05000000000001,19,165,205,20.762500000000003,4.75,3,3,3,333,Trung thành
1153,2015-12-08,2014-03-28,6,101.5,26,23,620,16.916666666666668,4.333333333333333,5,5,4,554,VIP
1154,2015-05-17,2014-05-15,3,35.2,18,228,367,11.733333333333334,6.0,2,2,1,221,Khác
1155,2015-12-27,2015-04-01,3,89.3,16,4,270,29.766666666666666,5.333333333333333,5,2,4,524,Mới
1156,2015-09-13,2015-09-13,1,24.0,5,109,0,24.0,5.0,3,1,1,311,Vãng lai
1157,2014-10-04,2014-03-21,2,136.9,15,453,197,68.45,7.5,1,1,5,115,Khác
1158,2015-10-17,2014-02-19,4,49.1,22,75,605,12.275,5.5,4,3,2,432,Trung thành
1159,2015-06-14,2014-01-28,3,25.45,10,200,502,8.483333333333333,3.3333333333333335,2,2,1,221,Khác
1160,2015-11-20,2014-02-04,6,118.50999999999999,27,41,654,19.751666666666665,4.5,5,5,4,554,VIP
1161,2015-03-14,2014-01-26,2,78.3,12,292,412,39.15,6.0,2,1,3,213,Khác
1162,2015-08-06,2014-01-18,5,113.5,21,147,565,22.7,4.2,3,4,4,344,Trung thành
1163,2015-12-14,2014-03-11,3,54.1,19,17,643,18.033333333333335,6.333333333333333,5,2,2,522,Mới
1164,2015-03-30,2015-02-01,2,31.1,10,276,57,15.55,5.0,2,1,1,211,Vãng lai
1165,2015-12-29,2014-04-01,4,136.2,19,2,637,34.05,4.75,5,3,5,535,Trung thành
1166,2014-06-03,2014-02-17,2,29.099999999999998,8,576,106,14.549999999999999,4.0,1,1,1,111,Vãng lai
1167,2015-02-16,2014-11-01,2,23.5,8,318,107,11.75,4.0,2,1,1,211,Vãng lai
1168,2015-03-06,2014-10-31,3,86.6,17,300,126,28.866666666666664,5.666666666666667,2,2,3,223,Khác
1169,2014-12-15,2014-01-04,9,284.8,45,381,345,31.644444444444446,5.0,1,5,5,155,Nguy cơ
1170,2015-12-01,2014-05-22,7,184.44,39,30,558,26.34857142857143,5.571428571428571,5,5,5,555,VIP
1171,2015-05-05,2014-03-01,5,75.30000000000001,14,240,430,15.060000000000002,2.8,2,4,3,243,Nguy cơ
1173,2015-10-22,2014-04-18,4,36.5,17,70,552,9.125,4.25,4,3,1,431,Trung thành
1174,2015-02-11,2014-07-26,5,59.900000000000006,22,323,200,11.98,4.4,2,4,2,242,Nguy cơ
1175,2015-06-30,2014-01-02,5,222.35999999999999,40,184,544,44.471999999999994,8.0,3,4,5,345,Trung thành
1176,2015-08-17,2014-05-09,6,96.64999999999999,30,136,465,16.10833333333333,5.0,3,5,4,354,Trung thành
1177,2015-10-14,2015-10-14,1,10.450000000000001,10,78,0,10.450000000000001,10.0,4,1,1,411,Vãng lai
1178,2015-11-15,2014-06-15,4,114.24000000000001,23,46,518,28.560000000000002,5.75,5,3,4,534,Trung thành
1179,2014-09-11,2014-06-08,2,112.60000000000001,13,476,95,56.300000000000004,6.5,1,1,4,114,Khác
1180,2014-08-24,2014-02-02,2,9.899999999999999,7,494,203,4.949999999999999,3.5,1,1,1,111,Vãng lai
1181,2015-11-16,2014-07-13,3,38.2,17,45,491,12.733333333333334,5.666666666666667,5,2,2,522,Mới
1182,2015-11-29,2014-06-20,6,199.82,32,32,527,33.303333333333335,5.333333333333333,5,5,5,555,VIP
1183,2015-06-29,2015-01-04,3,97.6,30,185,176,32.53333333333333,10.0,3,2,4,324,Khác
1184,2015-06-16,2014-06-24,2,43.5,10,198,357,21.75,5.0,2,1,2,212,Khác
1185,2015-08-24,2014-08-14,4,108.9,19,129,375,27.225,4.75,3,3,4,334,Trung thành
1186,2015-04-26,2014-02-09,4,51.83,19,249,441,12.9575,4.75,2,3,2,232,Nguy cơ
1187,2015-12-12,2014-06-08,3,14.77,11,19,552,4.923333333333333,3.6666666666666665,5,2,1,521,Mới
1188,2015-01-09,2014-07-04,3,69.7,19,356,189,23.233333333333334,6.333333333333333,1,2,3,123,Khác
1189,2014-07-04,2014-02-23,2,30.55,8,545,131,15.275,4.0,1,1,1,111,Vãng lai
1190,2015-10-27,2014-04-24,8,161.10000000000002,37,65,551,20.137500000000003,4.625,4,5,5,455,VIP
1191,2015-08-08,2014-03-10,2,100.60000000000001,13,145,516,50.300000000000004,6.5,3,1,4,314,Khác
1192,2015-01-09,2014-12-27,2,28.400000000000002,9,356,13,14.200000000000001,4.5,1,1,1,111,Vãng lai
1193,2015-11-12,2014-02-16,2,22.56,9,49,634,11.28,4.5,4,1,1,411,Vãng lai
1194,2015-05-13,2014-01-16,3,73.2,15,232,482,24.400000000000002,5.0,2,2,3,223,Khác
1195,2015-11-04,2014-08-14,3,64.06,11,57,447,21.353333333333335,3.6666666666666665,4,2,3,423,Khác
1196,2015-11-27,2014-01-20,3,34.42,15,34,676,11.473333333333334,5.0,5,2,1,521,Mới
1197,2015-11-22,2014-03-19,6,153.60000000000002,40,39,613,25.600000000000005,6.666666666666667,5,5,5,555,VIP
1198,2015-01-31,2014-03-22,3,167.9,17,334,315,55.96666666666667,5.666666666666667,1,2,5,125,Khác
1199,2015-12-10,2014-03-23,4,57.5,26,21,627,14.375,6.5,5,3,2,532,Trung thành
1200,2015-09-26,2014-02-27,3,26.050000000000004,11,96,576,8.683333333333335,3.6666666666666665,4,2,1,421,Khác
1201,2014-11-24,2014-10-24,2,34.8,8,402,31,17.4,4.0,1,1,1,111,Vãng lai
1202,2015-07-22,2014-04-21,4,61.6,17,162,457,15.4,4.25,3,3,2,332,Trung thành
1204,2015-07-23,2014-01-12,7,142.10000000000002,31,161,557,20.300000000000004,4.428571428571429,3,5,5,355,Trung thành
1205,2015-03-14,2014-04-30,3,69.10000000000001,25,292,318,23.033333333333335,8.333333333333334,2,2,3,223,Khác
1206,2015-05-15,2014-02-03,3,96.6,25,230,466,32.199999999999996,8.333333333333334,2,2,4,224,Khác
1207,2015-11-14,2014-04-28,3,62.06,16,47,565,20.686666666666667,5.333333333333333,4,2,3,423,Khác
1208,2015-12-16,2014-08-03,5,171.46,25,15,500,34.292,5.0,5,4,5,545,VIP
1209,2014-11-11,2014-03-05,4,121.28999999999999,17,415,251,30.322499999999998,4.25,1,3,4,134,Nguy cơ
1211,2015-05-24,2014-11-09,6,107.75,33,221,196,17.958333333333332,5.5,2,5,4,254,Nguy cơ
1212,2015-07-31,2014-05-25,4,68.39999999999999,12,153,432,17.099999999999998,3.0,3,3,3,333,Trung thành
1213,2015-09-14,2015-02-07,3,94.6,27,108,219,31.53333333333333,9.0,3,2,4,324,Khác
1214,2015-01-10,2014-07-08,2,58.9,13,355,186,29.45,6.5,1,1,2,112,Khác
1215,2015-01-18,2014-04-28,3,76.71000000000001,24,347,265,25.570000000000004,8.0,1,2,3,123,Khác
1216,2015-08-25,2014-02-07,4,183.20000000000002,33,128,564,45.800000000000004,8.25,3,3,5,335,Trung thành
1217,2015-02-18,2014-07-21,3,68.6,19,316,212,22.866666666666664,6.333333333333333,2,2,3,223,Khác
1218,2015-12-29,2014-05-08,7,194.2,45,2,600,27.74285714285714,6.428571428571429,5,5,5,555,VIP
1219,2014-10-02,2014-07-03,2,32.6,10,455,91,16.3,5.0,1,1,1,111,Vãng lai
1220,2015-12-29,2014-11-16,5,182.45000000000002,31,2,408,36.49,6.2,5,4,5,545,VIP
1221,2014-11-15,2014-11-15,1,1.7,2,411,0,1.7,2.0,1,1,1,111,Vãng lai
1222,2015-09-24,2015-08-07,2,16.799999999999997,6,98,48,8.399999999999999,3.0,4,1,1,411,Vãng lai
1223,2015-11-30,2014-09-05,4,61.599999999999994,19,31,451,15.399999999999999,4.75,5,3,2,532,Trung thành
1224,2014-09-20,2014-08-31,2,83.30000000000001,10,467,20,41.650000000000006,5.0,1,1,3,113,Khác
1225,2015-05-20,2014-03-03,7,127.0,36,225,443,18.142857142857142,5.142857142857143,2,5,4,254,Nguy cơ
1226,2015-11-12,2015-04-13,2,84.55,19,49,213,42.275,9.5,4,1,3,413,Khác
1227,2014-05-08,2014-05-08,1,7.7,2,602,0,7.7,2.0,1,1,1,111,Vãng lai
1228,2015-02-23,2015-02-23,1,16.6,4,311,0,16.6,4.0,2,1,1,211,Vãng lai
1229,2015-03-20,2014-07-26,3,146.39999999999998,20,286,237,48.79999999999999,6.666666666666667,2,2,5,225,Khác
1230,2015-11-19,2014-03-16,6,66.85,23,42,613,11.141666666666666,3.8333333333333335,5,5,3,553,Trung thành
1231,2015-10-27,2014-09-29,7,156.0,29,65,393,22.285714285714285,4.142857142857143,4,5,5,455,VIP
1232,2015-07-01,2014-08-08,3,33.0,14,183,327,11.0,4.666666666666667,3,2,1,321,Khác
1233,2015-08-13,2014-04-07,6,98.36,34,140,493,16.393333333333334,5.666666666666667,3,5,4,354,Trung thành
1234,2015-11-20,2014-03-16,4,74.44,19,41,614,18.61,4.75,5,3,3,533,Trung thành
1235,2015-05-29,2014-05-26,8,153.88,36,216,368,19.235,4.5,2,5,5,255,Nguy cơ
1236,2015-05-11,2014-06-27,2,40.599999999999994,11,234,318,20.299999999999997,5.5,2,1,2,212,Khác
1237,2015-04-09,2014-01-25,7,160.8,39,266,439,22.97142857142857,5.571428571428571,2,5,5,255,Nguy cơ
1238,2015-03-01,2015-03-01,1,27.0,6,305,0,27.0,6.0,2,1,1,211,Vãng lai
1239,2015-08-31,2014-04-18,7,139.0,31,122,500,19.857142857142858,4.428571428571429,3,5,5,355,Trung thành
1240,2015-04-14,2014-07-15,3,58.64,24,261,273,19.546666666666667,8.0,2,2,2,222,Khác
1241,2015-05-22,2014-01-03,4,156.22,26,223,504,39.055,6.5,2,3,5,235,Nguy cơ
1242,2015-12-14,2014-12-16,6,125.10999999999999,35,17,363,20.851666666666663,5.833333333333333,5,5,4,554,VIP
1243,2014-01-08,2014-01-08,1,6.0,4,722,0,6.0,4.0,1,1,1,111,Vãng lai
1244,2014-11-25,2014-09-07,3,39.02,16,401,79,13.006666666666668,5.333333333333333,1,2,2,122,Khác
1245,2015-12-04,2014-07-12,7,167.71,36,27,510,23.958571428571428,5.142857142857143,5,5,5,555,VIP
1246,2014-12-29,2014-03-03,4,57.400000000000006,16,367,301,14.350000000000001,4.0,1,3,2,132,Nguy cơ
1247,2014-10-04,2014-06-08,2,17.4,8,453,118,8.7,4.0,1,1,1,111,Vãng lai
1248,2015-12-15,2014-02-01,8,166.65,33,16,682,20.83125,4.125,5,5,5,555,VIP
1249,2014-10-11,2014-01-01,2,62.800000000000004,12,446,283,31.400000000000002,6.0,1,1,3,113,Khác
1250,2014-10-08,2014-10-08,1,1.3,2,449,0,1.3,2.0,1,1,1,111,Vãng lai
1251,2015-11-26,2015-11-26,1,6.6,5,35,0,6.6,5.0,5,1,1,511,Mới
1252,2015-04-13,2014-08-28,3,104.9,20,262,228,34.96666666666667,6.666666666666667,2,2,4,224,Khác
1253,2015-06-20,2014-03-01,2,51.94000000000001,9,194,476,25.970000000000006,4.5,2,1,2,212,Khác
1254,2015-04-19,2014-03-03,2,115.0,9,256,412,57.5,4.5,2,1,4,214,Khác
1255,2014-09-26,2014-09-26,1,26.799999999999997,5,461,0,26.799999999999997,5.0,1,1,1,111,Vãng lai
1256,2015-08-29,2014-06-17,5,99.65,24,124,438,19.93,4.8,3,4,4,344,Trung thành
1257,2014-09-16,2014-05-19,2,20.0,6,471,120,10.0,3.0,1,1,1,111,Vãng lai
1258,2014-08-09,2014-05-04,2,50.9,12,509,97,25.45,6.0,1,1,2,112,Khác
1259,2015-11-27,2014-04-20,6,220.04000000000002,33,34,586,36.67333333333334,5.5,5,5,5,555,VIP
1260,2014-10-04,2014-07-09,2,48.74,8,453,87,24.37,4.0,1,1,2,112,Khác
